61	tt2614684	'71	'71 (2014)	7.2	Action,Drama,Thriller,War
62	tt0298203	8 Mile	8 Mile (2002)	7.1	Action,Drama,Music
63	tt0411061	88 Minutes	88 Minutes (2007)	5.9	Action,Crime,Drama,Mystery,Thriller
64	tt0472033	9	9 (2009)	7.1	Action,Adventure,Animation,Drama,Family,Fantasy,Mystery,Sci-Fi,Thriller
65	tt1641385	96 Minutes	96 Minutes (2011)	5.7	Action,Drama,Thriller
66	tt0268978	A Beautiful Mind	A Beautiful Mind (2001)	8.2	Action,Biography,Drama,Romance
67	tt0072730	A Boy and His Dog	A Boy and His Dog (1975)	6.6	Action,Comedy,Drama,Sci-Fi,Thriller
68	tt0103882	A Brief History of Time	A Brief History of Time (1991)	7.4	Action,Biography,Documentary
69	tt3149038	A Brilliant Young Mind	A Brilliant Young Mind (2014)	7.2	Action,Comedy,Drama,Romance
70	tt0106489	A Bronx Tale	A Bronx Tale (1993)	7.8	Action,Crime,Drama
71	tt3219678	A Brony Tale	A Brony Tale (2014)	5.6	Action,Documentary
72	tt0120623	A Bug's Life	A Bug's Life (1998)	7.2	Action,Adventure,Animation,Comedy,Family,Fantasy
73	tt1817081	A Case of You	A Case of You (2013)	5.7	Action,Comedy,Romance
74	tt1067106	A Christmas Carol	A Christmas Carol (2009)	6.8	Action,Animation,Drama,Family,Fantasy
75	tt0085334	A Christmas Story	A Christmas Story (1983)	8	Action,Comedy,Family
76	tt0066921	A Clockwork Orange	A Clockwork Orange (1971)	8.3	Action,Crime,Drama,Sci-Fi
77	tt2104837	Death Watch	Death Watch (2013)	4.7	Action,Thriller
78	tt0061523	A Countess from Hong Kong	A Countess from Hong Kong (1967)	6.1	Action,Comedy,Romance
79	tt1571222	A Dangerous Method	A Dangerous Method (2011)	6.5	Action,Biography,Drama,History,Romance,Thriller
80	tt1109582	A Day of Violence	A Day of Violence (2010)	3.6	Action,Crime,Thriller
81	tt2006040	A Fantastic Fear of Everything	A Fantastic Fear of Everything (2012)	5.9	Action,Comedy,Horror
82	tt0050379	A Farewell to Arms	A Farewell to Arms (1957)	5.9	Action,Drama,Romance,War
83	tt0104257	A Few Good Men	A Few Good Men (1992)	7.7	Action,Drama,Thriller
84	tt2854894	A Fighting Man	A Fighting Man (2014)	5.6	Action,Drama,Sport
